range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,64.9950679270068,76.1743409925869,1.16030010414939,22.0457019788384,0.764491770835821,2.16640667518218,7308.03932124181,138852.747103594
30,74.1476394635916,45.2235147562288,6.8558758679759,130.954788672102,0.788998117300337,0.724439266502738,14188.4356961616,269580.971374251
40,79.4296132588988,33.1957891721219,10.1398431453244,193.755632049832,0.800706734447213,0.506893718145661,18944.6409178238,359949.27605094
50,81.8934555651141,25.5652362934623,11.2172057337179,214.513203301761,0.808670464751083,0.424541778677858,23169.3086075125,440218.249837099
60,87.2456378415242,25.6934659237798,15.892413692685,303.565298073449,0.817020768135991,0.391997010366595,28640.7015526483,544174.93893823
70,88.6756479890342,22.4712621102123,16.6003626359755,317.198649552763,0.821830999191857,0.362648526063543,32348.4469719598,614622.284226705
80,92.5430631795235,22.8236872959882,20.5985698315496,393.318736948497,0.824716301925989,0.337427643320353,34908.0364263973,663254.638011698
90,94.1037924119234,21.3703515519811,21.766239614677,415.637994220544,0.826708409332675,0.316756698625348,36907.1908336073,701238.70528008
100,95.6268809055893,20.4116880814683,23.100445191283,441.105683211713,0.828582161958918,0.301384369508153,38998.6648737657,740976.829826126
110,97.0705831518045,19.7574047019723,24.5411854878751,468.585109362621,0.829553452587115,0.286053732278496,40203.5657597408,763870.052020168
120,97.9459121964736,18.8433829267002,25.2127520643033,481.440184494561,0.830570372603708,0.274034818597918,41556.7268034155,789580.207160167
130,98.2241737315965,17.8314406022205,25.3383287098321,483.913152136597,0.830994964045693,0.261647150295055,42158.3081799226,801010.34032518
140,98.7996897481329,17.2444129897035,25.9795078825792,496.175599126467,0.831267636731018,0.250509601722103,42573.6622831698,808902.148329584
150,98.8729830210445,16.4990378681593,26.019580583532,497.011088416723,0.831296531123266,0.239781838678037,42617.2994497419,809731.328602425
160,98.734375572489,15.87047792261,26.2970417533019,502.351843513838,0.831301900420722,0.230228677191075,42623.7377180683,809853.724693498
170,98.6925517257678,15.3143115411698,26.4510223538363,505.34201344513,0.831314858857089,0.221769381025573,42645.8408607648,810273.748943252
180,98.6775417105603,14.791479895043,26.4879024891528,506.10336063796,0.831317165421633,0.214134436662366,42649.9481969009,810351.848954462
190,98.6841238041021,14.3135955988586,26.4909265389845,506.217975998601,0.831321541307548,0.207245117995173,42658.447648473,810513.395692745
200,98.6097999147837,13.9667319926944,26.9049793347375,514.139046339179,0.831324752853464,0.200972598823035,42663.9826992241,810618.615724237
