range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,68.9606057996951,110.935487033147,2.10678387559012,40.0288936362122,0.77945193798486,2.46133668048051,8176.90750263498,155361.242550065
30,74.2427901527304,35.9687984257815,4.24335720078455,81.3169339954663,0.805251648718952,0.781820878438097,14328.8047207107,272247.982840684
40,79.9613978456491,29.4812323732748,7.7921534040999,149.149526966566,0.82029760820804,0.553799396055005,19581.0219713393,372040.516067735
50,81.8749094092285,22.4421418907074,8.49658530601702,162.821415175443,0.827008067845915,0.450495417988871,22610.0943038502,429593.178067515
60,86.0433597230523,21.7966234680944,11.6159487310767,222.312463802892,0.835823241104047,0.413099477160863,27560.6604468246,523654.157927579
70,88.055868866906,19.718583669242,12.8449219486035,245.845276492694,0.839961501133862,0.376820250204945,30279.9440172455,575320.728087133
80,90.4580923286314,18.8952838450983,14.7356966665737,281.924146813956,0.84427558668509,0.355547897343488,33566.484513102,637765.151659087
90,91.7996485888143,17.6034237217468,15.590659185085,298.301966058295,0.848046555620806,0.340246982402181,36829.079626019,699754.592335903
100,93.8652957899826,17.5723754465212,17.8296956945622,340.961442774018,0.849829542174468,0.322086348451129,38524.7761666979,731972.944391837
110,94.6767051444841,16.6643689074998,18.4323758030067,352.517725350121,0.850862521940401,0.305261834433683,39598.9633828435,752382.606859119
120,95.5448052462388,15.9908467873323,19.1482524211935,366.214691275475,0.851800228611595,0.291473393208074,40666.0893166909,772658.094912399
130,96.1046610385251,15.2752478030723,19.5392681676298,373.731001834754,0.852595227653591,0.279641871215816,41641.206501516,791185.408435453
140,96.2582189770803,14.536324390173,19.605488767544,375.069235940798,0.852844730918894,0.267462855415053,41965.9800749918,797356.186374202
150,96.2242586027203,13.881589761211,19.6174484439558,375.370577764776,0.85287118478764,0.255975924187594,41998.2252440782,797968.918694816
160,96.1444092174273,13.3410144830689,19.7441245358392,377.846416382048,0.852879138256458,0.24578932081113,42008.485803488,798163.938316473
170,96.1254054143338,12.8497921599444,19.7726149752776,378.452273252515,0.85288379213497,0.236714876923101,42015.1805988417,798291.203966714
180,96.1416667582295,12.409657974702,19.7842989203293,378.734892830313,0.852919193538884,0.228724757640981,42076.5718158271,799457.697714059
190,96.0959921820304,12.0570166118226,19.9812712529968,382.534525564836,0.852925793310771,0.221372814805297,42087.4562897733,799664.559877451
200,96.0807444059408,11.6987678058301,20.0212444734243,383.348083974229,0.852930091855649,0.214679173845113,42095.4107602609,799815.748883936
