range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,87.9546557777893,76.3604544022352,0.0906176383471474,1.7217351285958,110.520927675937,93.1351129821478,0.125966187638093,2.39335756512377
30,85.0903345378302,22.7724103587994,0.199894423390923,4.49114122498748,108.965244460748,21.4398427432761,0.154648967738085,3.63147756758355
40,84.5755805200648,12.6258252418252,0.205827985517792,5.00934401350616,113.051267062104,17.6196949984316,0.33737913337087,7.50881582271465
50,82.6710130765454,12.1364404880144,0.397383305637011,8.93657716822309,110.792391391593,14.5123312042885,0.494757139710124,10.7866800156122
60,82.017831167323,10.0803268663198,0.436947305240646,9.91143671200637,110.031808995478,11.90050117643,0.534193769556492,11.7591195340074
70,80.6200812401005,9.7198112114135,0.613705664094212,13.4521670870181,109.207561875162,10.103839979892,0.574386115583648,12.7050956653174
80,79.2983239031829,9.52064720646973,0.827569641823618,17.6697333437041,107.206375740793,10.5645116235992,0.906299124051089,19.165593506026
90,77.9056061944304,10.0709729481503,1.23215708702459,25.4904261951471,105.54253837916,11.1330203733324,1.34142557343352,27.5665274369167
100,76.6160981723446,10.8544861712577,1.82080119259669,36.7924472366733,104.210245557718,11.2497156403006,1.73884488187492,35.2352773329597
110,75.2997445086124,10.8756546813702,2.30524133774125,46.1021705100778,102.75151984407,11.0882788438755,2.13474285259768,42.86269929235
120,73.9068881894698,11.6918698173566,3.27678797314579,64.6568667625684,100.58978922159,12.7138671385267,3.53714602800258,69.6036698048473
130,71.7219755664437,14.8267130044461,6.62541745410915,128.367838277862,98.0868288488328,15.1304970549809,6.28290438309096,121.860089928516
140,70.558288673426,14.8606776264969,7.87711254116138,152.230087639528,96.5367983183377,15.1777817271835,7.56140911621514,146.231722565549
150,68.8217759125935,15.6204675071181,10.538264546889,202.866083720507,94.026623793454,15.9274702475,10.3445484234618,199.185477375389
160,67.5244841604503,15.8694262578376,12.7538698488416,245.031577329092,91.9218739880007,16.1049364301531,12.8227547110689,246.340389711412
170,66.3048409903999,16.0075155493054,15.0633486499963,288.97621307217,90.1263439417473,15.9495310464611,14.9630442011652,287.070428544379
180,65.1431988137908,16.3111553535027,17.9712910099264,344.287742532657,88.6261956401959,15.9807367882198,17.4340497133363,334.080157897446
190,64.493911183946,15.996201383868,19.2277418325004,368.217466575403,87.1749173376799,15.8779241646657,19.8730236854822,380.477821782058
200,63.7319205372202,15.9370324699461,21.2568107058698,406.823842390692,86.2483375353499,15.6140534406136,21.5003498487889,411.451086106156
