range,cos lp,cos err,cos gof,cos BIC,r2 lp,r2 err,r2 gof,r2 BIC
20,94.6940240382371,97.0697136912208,0.162635134355008,3.09006755274515,0.758486384176505,1.93152337937206,2845.06989537814,54056.3280121847
30,99.9950179712633,35.3806741561364,0.420250520073621,8.67790706195875,0.776248976768864,0.63450525777015,5335.35566782339,101372.450835825
40,98.2011778211888,21.9173302610669,0.525105256679959,11.0756121655873,0.780616687280123,0.414063633634179,6216.98646627678,118123.841471548
50,100.849654862708,18.1606212496208,0.679081675855995,14.2888462023838,0.784226606453484,0.336766035666941,7188.18312199545,136576.865612275
60,102.340194834145,15.3129583796507,0.752956028008154,15.915602444589,0.786050924691845,0.290388524607032,7783.89442943724,147895.60359722
70,103.977400259676,13.7422069161682,0.851433755700994,17.9690008275469,0.787531530827997,0.261732440798096,8365.1780471939,158940.174656153
80,106.098627193199,13.5266480199655,1.05593033069073,22.0085864321791,0.788794886710533,0.242153753834403,8936.46411494953,169794.76409419
90,106.123936623816,12.0923705680539,1.0560014031936,22.1434682023582,0.789652306592724,0.226197874636085,9363.78654648042,177914.02382467
100,105.534838261681,11.4558468811096,1.15050931469678,24.056901556575,0.790090564705341,0.211882488335299,9601.3490667057,182427.829491986
110,104.516699977844,11.2689381178444,1.35459293045946,28.0398507717238,0.790459693404636,0.200279905717139,9821.95372228729,186619.423308552
120,104.507737599904,10.5023102716933,1.35461336243099,28.1355491589871,0.790704835010097,0.190153799362701,9978.91641819861,189601.809841046
130,106.566112912191,11.9741029653071,1.90404682880358,38.6617963970561,0.79107437155584,0.182688803783033,10250.3024370928,194758.231211412
140,105.919651449186,11.3029535399567,1.97250841006814,40.0426091487563,0.791481630759917,0.176669571702306,10559.0170757955,200623.889389472
150,105.914900241925,10.8044635167299,1.97258980625859,40.1182636485284,0.791600426113571,0.169722162975736,10646.4088179851,202284.406599047
160,105.053792711151,12.0723652091676,2.76376759422698,55.2196344914148,0.805867989601374,0.228258934216549,20627.8451930564,391931.766718273
170,104.917569360891,11.7952402149807,2.86103445456479,57.1322433589708,0.805938951663649,0.220099616599449,20680.2136948837,392926.832791513
180,104.32444854541,12.7712901407201,3.67922219583747,72.7384350649681,0.805990779014213,0.212707647111499,20717.4062484922,393633.551934696
190,104.078453026944,12.6376269416484,3.88553050472959,76.7154513477584,0.806257695707088,0.20690702002036,20926.9955419988,397615.805669736
200,103.722342176578,12.8057480224092,4.30207454293267,84.6838552948871,0.806281335267288,0.200714643462499,20943.9163558521,397937.355200169
